iteration	loss	baseline	error	formula	error	
1	0.69534189	0.19669525	0.19669525	0.00000068	(((((0.3640*(sin(x0))+-1.0019*(sin(x1))+0.3512*(sin(x2))+-0.1016))+((-0.1293*(1)+-0.0027*(1)+-0.0948*(1)+-0.0019))))*((-0.3734*(sin(x0))+0.4101*(sin(x1))+0.3726*(sin(x2))+0.0234)))	
2	0.48686528	0.19683793	0.19954896	0.00000068	(((((0.3640*(sin(x0))+-1.0019*(sin(x1))+0.3512*(sin(x2))+-0.1016))+((-0.1293*(1)+-0.0027*(1)+-0.0948*(1)+-0.0019))))*((-0.3734*(sin(x0))+0.4101*(sin(x1))+0.3726*(sin(x2))+0.0234)))	
3	1.02963531	0.19860926	0.23226476	0.00000019	(((((-0.0596*(exp(x0))+0.3252*(exp(x1))+0.0034*(exp(x2))+0.2269))*((0.3491*(sin(x0))+0.0149*(sin(x1))+-0.6185*(sin(x2))+-0.0180))))+((-0.1556*((x0)**2)+-0.5400*((x1)**2)+0.2341*((x2)**2)+0.0456)))	
4	1.69163883	0.20328212	0.29206628	0.00000005	(((((-0.4737*(x0)+0.4551*(x1)+0.4553*(x2)+0.0606))*((0.3304*(cos(x0))+0.1330*(cos(x1))+0.2949*(cos(x2))+0.3014))))*((0.1453*(x0)+-0.7965*(x1)+0.1495*(x2)+-0.1516)))	
5	0.69373047	0.20343314	0.20630272	0.00000005	(((((-0.4737*(x0)+0.4551*(x1)+0.4553*(x2)+0.0606))*((0.3304*(cos(x0))+0.1330*(cos(x1))+0.2949*(cos(x2))+0.3014))))*((0.1453*(x0)+-0.7965*(x1)+0.1495*(x2)+-0.1516)))	
6	0.78073609	0.20323145	0.19939958	0.00000005	(((((-0.4737*(x0)+0.4551*(x1)+0.4553*(x2)+0.0606))*((0.3304*(cos(x0))+0.1330*(cos(x1))+0.2949*(cos(x2))+0.3014))))*((0.1453*(x0)+-0.7965*(x1)+0.1495*(x2)+-0.1516)))	
7	0.57415497	0.20368724	0.21234715	0.00000005	(((((-0.4737*(x0)+0.4551*(x1)+0.4553*(x2)+0.0606))*((0.3304*(cos(x0))+0.1330*(cos(x1))+0.2949*(cos(x2))+0.3014))))*((0.1453*(x0)+-0.7965*(x1)+0.1495*(x2)+-0.1516)))	
8	0.92134202	0.20563918	0.24272633	0.00000005	(((((-0.4737*(x0)+0.4551*(x1)+0.4553*(x2)+0.0606))*((0.3304*(cos(x0))+0.1330*(cos(x1))+0.2949*(cos(x2))+0.3014))))*((0.1453*(x0)+-0.7965*(x1)+0.1495*(x2)+-0.1516)))	
9	1.02565491	0.20599101	0.21267605	0.00000005	(((((-0.4737*(x0)+0.4551*(x1)+0.4553*(x2)+0.0606))*((0.3304*(cos(x0))+0.1330*(cos(x1))+0.2949*(cos(x2))+0.3014))))*((0.1453*(x0)+-0.7965*(x1)+0.1495*(x2)+-0.1516)))	
10	0.51653439	0.20365211	0.15921286	0.00000005	(((((-0.4737*(x0)+0.4551*(x1)+0.4553*(x2)+0.0606))*((0.3304*(cos(x0))+0.1330*(cos(x1))+0.2949*(cos(x2))+0.3014))))*((0.1453*(x0)+-0.7965*(x1)+0.1495*(x2)+-0.1516)))	
