iteration	loss	baseline	error	formula	error	
1	1.18702078	0.22302829	0.22302829	0.00000036	(0.2896*((((-0.2308*(sin(x0))+-0.7967*(sin(x1))+0.2925*(sin(x2))+-0.2953))+((-0.1085*((x0)**3)+0.1108*((x1)**3)+0.6434*((x2)**3)+-0.2231))))**2+-0.1906)	
2	1.17110920	0.22608009	0.28406435	0.00000009	(0.2715*sin((((-0.0429*(sin(x0))+0.5851*(sin(x1))+-0.8726*(sin(x2))+-0.1004))*((0.0898*(exp(x0))+0.1896*(exp(x1))+0.5189*(exp(x2))+0.2405))))+0.0421)	
3	1.66308057	0.22718020	0.24808235	0.00000004	(-0.2643*sin((((-0.0446*((x0)**3)+0.0343*((x1)**3)+0.3201*((x2)**3)+0.0956))+((-0.0561*(x0)+-0.8722*(x1)+0.9911*(x2)+0.0256))))+0.0075)	
4	0.91615552	0.22436695	0.17091523	0.00000004	(-0.2643*sin((((-0.0446*((x0)**3)+0.0343*((x1)**3)+0.3201*((x2)**3)+0.0956))+((-0.0561*(x0)+-0.8722*(x1)+0.9911*(x2)+0.0256))))+0.0075)	
5	1.46503341	0.22697438	0.27651569	0.00000003	(-0.3865*sin((((-0.1882*(x0)+-0.7977*(x1)+0.8042*(x2)+-0.2044))*((0.3314*(x0)+0.4747*(x1)+0.3009*(x2)+0.4423))))+-0.1162)	
6	6.02171803	0.24913079	0.67010260	0.00000000	(-0.2584*(((0.0097*(x0)+-0.7661*(x1)+1.1691*(x2)+-0.0271))-((0.0012*((x0)**3)+-0.0023*((x1)**3)+-0.0018*((x2)**3)+-0.0158)))+-0.0007)	
7	50.84614182	0.41050071	3.47652888	0.00000000	(0.2745*(((0.0497*(0)+-0.0562*(0)+-0.0883*(0)+0.0764))-((-0.1332*(x0)+-0.8618*(x1)+0.9599*(x2)+0.0073)))+-0.0555)	
8	1.53640878	0.40461567	0.29279980	0.00000000	(0.2745*(((0.0497*(0)+-0.0562*(0)+-0.0883*(0)+0.0764))-((-0.1332*(x0)+-0.8618*(x1)+0.9599*(x2)+0.0073)))+-0.0555)	
9	2.74728084	0.40301141	0.37253085	0.00000000	(0.2745*(((0.0497*(0)+-0.0562*(0)+-0.0883*(0)+0.0764))-((-0.1332*(x0)+-0.8618*(x1)+0.9599*(x2)+0.0073)))+-0.0555)	
10	0.54169160	0.39476356	0.23805459	0.00000000	(0.2745*(((0.0497*(0)+-0.0562*(0)+-0.0883*(0)+0.0764))-((-0.1332*(x0)+-0.8618*(x1)+0.9599*(x2)+0.0073)))+-0.0555)	
11	0.92679405	0.38723919	0.24427624	0.00000000	(0.2745*(((0.0497*(0)+-0.0562*(0)+-0.0883*(0)+0.0764))-((-0.1332*(x0)+-0.8618*(x1)+0.9599*(x2)+0.0073)))+-0.0555)	
12	1.27545297	0.38120151	0.26648551	0.00000000	(0.2745*(((0.0497*(0)+-0.0562*(0)+-0.0883*(0)+0.0764))-((-0.1332*(x0)+-0.8618*(x1)+0.9599*(x2)+0.0073)))+-0.0555)	
13	1.26165330	0.37390029	0.23517738	0.00000000	(0.2745*(((0.0497*(0)+-0.0562*(0)+-0.0883*(0)+0.0764))-((-0.1332*(x0)+-0.8618*(x1)+0.9599*(x2)+0.0073)))+-0.0555)	
14	1.39679015	0.36854655	0.26682538	0.00000000	(0.2745*(((0.0497*(0)+-0.0562*(0)+-0.0883*(0)+0.0764))-((-0.1332*(x0)+-0.8618*(x1)+0.9599*(x2)+0.0073)))+-0.0555)	
15	4.11280632	0.36906570	0.37893006	0.00000000	(0.2745*(((0.0497*(0)+-0.0562*(0)+-0.0883*(0)+0.0764))-((-0.1332*(x0)+-0.8618*(x1)+0.9599*(x2)+0.0073)))+-0.0555)	
16	51.28019333	0.52342063	3.45616412	0.00000000	(0.2745*(((0.0497*(0)+-0.0562*(0)+-0.0883*(0)+0.0764))-((-0.1332*(x0)+-0.8618*(x1)+0.9599*(x2)+0.0073)))+-0.0555)	
17	2.18072200	0.51005900	0.25618824	0.00000000	(0.2745*(((0.0497*(0)+-0.0562*(0)+-0.0883*(0)+0.0764))-((-0.1332*(x0)+-0.8618*(x1)+0.9599*(x2)+0.0073)))+-0.0555)	
18	0.42358214	0.49549028	0.21868463	0.00000000	(0.2745*(((0.0497*(0)+-0.0562*(0)+-0.0883*(0)+0.0764))-((-0.1332*(x0)+-0.8618*(x1)+0.9599*(x2)+0.0073)))+-0.0555)	
19	1.80266941	0.48612005	0.30808598	0.00000000	(0.2745*(((0.0497*(0)+-0.0562*(0)+-0.0883*(0)+0.0764))-((-0.1332*(x0)+-0.8618*(x1)+0.9599*(x2)+0.0073)))+-0.0555)	
20	0.40249252	0.47564876	0.27669403	0.00000000	(0.2745*(((0.0497*(0)+-0.0562*(0)+-0.0883*(0)+0.0764))-((-0.1332*(x0)+-0.8618*(x1)+0.9599*(x2)+0.0073)))+-0.0555)	
21	0.37281409	0.46541440	0.27096155	0.00000000	(0.2745*(((0.0497*(0)+-0.0562*(0)+-0.0883*(0)+0.0764))-((-0.1332*(x0)+-0.8618*(x1)+0.9599*(x2)+0.0073)))+-0.0555)	
